species,inat_taxon_id,inat_name,inat_research_grade_obs,inat_total_photos,inat_photo_total_method,inat_sec_per_species,inat_error,gbif_key,gbif_human_obs,gbif_specimen_obs,gbif_photos,gbif_specimen_photos,combined_obs,combined_obs_specimens,combined_photos,combined_photos_specimens,family,species_binom,family_trait,genus,species_trait,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color,type,key
Cercopithecus cephus,43477.0,Cercopithecus cephus,152,251,exact,3.12,,5219570.0,117.0,75.0,163.0,223.0,269.0,344.0,414.0,637.0,Cercopithecidae,Cercopithecus cephus,cercopithecidae,cercopithecus,cephus,0,0,,0,0,0,,mono_stable,additional,Cercopithecus cephus
Cercopithecus diana,566530.0,Cercopithecus diana,19,21,exact,1.41,,5219576.0,17.0,22.0,19.0,38.0,36.0,58.0,40.0,78.0,Cercopithecidae,Cercopithecus diana,cercopithecidae,cercopithecus,diana,0,0,,0,0,0,,mono_stable,additional,Cercopithecus diana
Cercopithecus dryas,1368467.0,Chlorocebus dryas,3,3,exact,0.88,,5219583.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,5.0,Cercopithecidae,Cercopithecus dryas,cercopithecidae,cercopithecus,dryas,0,0,,0,0,0,,mono_stable,additional,Chlorocebus dryas
Cercopithecus erythrogaster,43476.0,Cercopithecus erythrogaster,40,57,exact,3.84,,5219571.0,21.0,21.0,28.0,22.0,61.0,82.0,85.0,107.0,Cercopithecidae,Cercopithecus erythrogaster,cercopithecidae,cercopithecus,erythrogaster,0,0,,0,0,0,,mono_stable,additional,Cercopithecus erythrogaster
Cercopithecus erythrotis,43484.0,Cercopithecus erythrotis,16,18,exact,0.88,,5219577.0,14.0,13.0,16.0,13.0,30.0,43.0,34.0,47.0,Cercopithecidae,Cercopithecus erythrotis,cercopithecidae,cercopithecus,erythrotis,0,0,,0,0,0,,mono_stable,additional,Cercopithecus erythrotis
Cercopithecus lhoesti,566540.0,Allochrocebus lhoesti,344,575,exact,4.55,,5219572.0,10.0,3.0,18.0,4.0,354.0,357.0,593.0,597.0,Cercopithecidae,Cercopithecus lhoesti,cercopithecidae,cercopithecus,lhoesti,0,0,,0,0,0,,mono_stable,additional,Allochrocebus lhoesti
Cercopithecus mitis,43486.0,Cercopithecus mitis,3133,3933,exact,19.23,,5219578.0,2437.0,188.0,4326.0,496.0,5570.0,5758.0,8259.0,8755.0,Cercopithecidae,Cercopithecus mitis,cercopithecidae,cercopithecus,mitis,0,0,,0,0,0,,mono_stable,additional,Cercopithecus mitis
Cercopithecus mona,43474.0,Cercopithecus mona,210,367,exact,4.75,,5219566.0,134.0,160.0,264.0,320.0,344.0,504.0,631.0,951.0,Cercopithecidae,Cercopithecus mona,cercopithecidae,cercopithecus,mona,0,0,,0,0,0,,mono_stable,additional,Cercopithecus mona
Cercopithecus neglectus,43473.0,Cercopithecus neglectus,108,187,exact,2.38,,5219567.0,93.0,36.0,171.0,91.0,201.0,237.0,358.0,449.0,Cercopithecidae,Cercopithecus neglectus,cercopithecidae,cercopithecus,neglectus,0,0,,0,0,0,,mono_stable,additional,Cercopithecus neglectus
Cercopithecus nictitans,43485.0,Cercopithecus nictitans,160,244,exact,2.7,,5219573.0,141.0,125.0,201.0,290.0,301.0,426.0,445.0,735.0,Cercopithecidae,Cercopithecus nictitans,cercopithecidae,cercopithecus,nictitans,0,0,,0,0,0,,mono_stable,additional,Cercopithecus nictitans
Cercopithecus petaurista,43488.0,Cercopithecus petaurista,72,156,exact,1.6,,5219579.0,56.0,46.0,134.0,93.0,128.0,174.0,290.0,383.0,Cercopithecidae,Cercopithecus petaurista,cercopithecidae,cercopithecus,petaurista,0,0,,0,0,0,,mono_stable,additional,Cercopithecus petaurista
Cercopithecus pogonias,883395.0,Cercopithecus pogonias,59,80,exact,2.03,,5219574.0,47.0,31.0,66.0,53.0,106.0,137.0,146.0,199.0,Cercopithecidae,Cercopithecus pogonias,cercopithecidae,cercopithecus,pogonias,0,0,,0,0,0,,mono_stable,additional,Cercopithecus pogonias
Cercopithecus sclateri,43481.0,Cercopithecus sclateri,0,0,exact,0.12,,5219581.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,Cercopithecidae,Cercopithecus sclateri,cercopithecidae,cercopithecus,sclateri,0,0,,0,0,0,,mono_stable,additional,Cercopithecus sclateri
